Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_21,Volatility,Target
2023-11-01,HDFCBANK.NS,711.6562028835086,719.053802155173,711.6562028835086,717.6181030273438,33877466,716.6181030273438,721.0736171177456,736.3601655505952,7.420233624004508,1
2023-11-02,HDFCBANK.NS,722.7282919430866,725.4050633947277,714.0409637501907,718.713134765625,45225154,717.713134765625,719.0364815848214,735.634771437872,5.2485606089911485,1
2023-11-03,HDFCBANK.NS,724.188409593513,725.84315305655,721.0979669049797,722.1199951171875,18095340,721.1199951171875,718.1500156947544,734.5733351934524,3.7195496476353744,1
2023-11-06,HDFCBANK.NS,729.0552066561768,729.0552066561768,721.7549208752405,727.351806640625,25593730,726.351806640625,720.3122820172991,733.6173444475446,4.077218383492081,0
2023-11-07,HDFCBANK.NS,727.1084929912065,727.1084929912065,718.9321488241404,723.8233642578125,41952848,722.8233642578125,721.5707048688616,732.532726469494,3.486092658117333,1
2023-11-08,HDFCBANK.NS,722.2172785513859,726.8407930714139,720.7815793854345,725.9161376953125,31399546,724.9161376953125,722.0191476004464,731.9602922712054,3.8500409387828456,0
2023-11-09,HDFCBANK.NS,723.2150058605088,726.4271198457463,721.9982915168673,723.044677734375,22116740,722.044677734375,722.6553170340402,731.0518130347842,3.545109251314575,1
2023-11-10,HDFCBANK.NS,720.3434947549177,728.0818092890966,720.3191961157734,725.8917236328125,14015186,724.8917236328125,723.8372628348214,729.9370698474702,2.907708984005172,0
2023-11-13,HDFCBANK.NS,726.1837249264701,728.0574529993991,723.1662973344708,724.5776977539062,20605914,723.5776977539062,724.6750575474331,728.5222022646949,1.83061395668757,1
2023-11-15,HDFCBANK.NS,732.0240144584016,735.3577999173147,730.2963157159859,732.1700439453125,41245460,731.1700439453125,726.1107788085938,727.7956513904389,3.036563108028695,1
2023-11-16,HDFCBANK.NS,734.7494210785321,739.2756221207742,731.8536647558356,734.0924072265625,29713838,733.0924072265625,727.0737217494419,727.3031703404018,4.301157236248698,0
2023-11-17,HDFCBANK.NS,725.16173850318,733.6787387876133,724.6750527726409,732.5106811523438,23701874,731.5106811523438,728.3147670200893,726.466535295759,4.457466986313852,1
2023-11-20,HDFCBANK.NS,736.3554985735485,736.3554985735485,730.7829708116128,732.559326171875,19331452,731.559326171875,729.2637939453125,726.1293276832217,4.56750053140343,1
2023-11-21,HDFCBANK.NS,739.2756311878541,740.7356883923068,735.9174877356371,738.7645874023438,24959972,737.7645874023438,731.5094953264509,726.1988525390625,4.855543458109836,0
2023-11-22,HDFCBANK.NS,739.7623206231069,739.7623206231069,731.7563640092628,736.1365356445312,29123650,735.1365356445312,732.9730398995536,725.9613066173736,4.402919825196937,1
2023-11-23,HDFCBANK.NS,734.1654184677379,741.6360324879696,734.1654184677379,740.39501953125,13046220,739.39501953125,735.2326572963169,726.3147321428571,3.2958846656413368,1
2023-11-24,HDFCBANK.NS,740.3463584220192,746.1622889319527,739.6893445243804,745.6512451171875,16469192,744.6512451171875,737.1585431780134,727.1397792271206,4.802451648438034,0
2023-11-28,HDFCBANK.NS,747.1599239182611,748.1576534487249,742.5851254924052,743.97216796875,28489338,742.97216796875,738.5699375697544,728.6519804454986,5.187505907248533,1
2023-11-29,HDFCBANK.NS,746.5272858530379,760.6898293348779,746.0892567948611,758.8161010742188,34042488,757.8161010742188,742.3278547014509,730.737775530134,8.522521784104208,0
2023-11-30,HDFCBANK.NS,763.6829374580863,765.2889647471237,750.542422535641,758.645751953125,69491440,757.645751953125,746.0544869559152,732.4458095005581,9.21443949033448,0
2023-12-01,HDFCBANK.NS,758.2077422076743,762.028213465217,755.3849410922298,756.9910278320312,22153536,755.9910278320312,748.6582641601562,734.2743588402158,9.384766658924642,1
